
 >> ingrese max_depth: 2
Pair: BTC/XVG - Price: 4.3e-07
Pair: XVG/BTC - Price: 2380952.380952381
Pair: BTC/GRIN - Price: 0.000144
Pair: GRIN/BTC - Price: 7208.76585928489
Pair: BTC/NEO - Price: 0.00121147
Pair: NEO/BTC - Price: 826.4462809917355
Pair: ETH/OMG - Price: 0.00533288
Pair: OMG/ETH - Price: 190.5226417107409
Pair: USDT/DCR - Price: 20.10870255
Pair: DCR/USDT - Price: 0.05010450913756284
Pair: BTC/ZRX - Price: 3.334e-05
Pair: ZRX/BTC - Price: 30021.01471029721
Pair: ETH/XRP - Price: 0.0015466
Pair: XRP/ETH - Price: 649.1778162956615
Pair: ETH/BCH - Price: 1.56545628
Pair: BCH/ETH - Price: 0.64305692594559
Pair: USDT/BAT - Price: 0.25212682
Pair: BAT/USDT - Price: 4.018165483243266
Pair: USDT/XLM - Price: 0.07511139
Pair: XLM/USDT - Price: 13.399772981046155
Pair: USDT/ONT - Price: 0.8985113
Pair: ONT/USDT - Price: 1.1346349169190815
Pair: USDT/ENJ - Price: 0.06578535
Pair: ENJ/USDT - Price: 15.531203663624572
Pair: BTC/DGB - Price: 7.7e-07
Pair: DGB/BTC - Price: 1315789.4736842106
Pair: BTC/BTT - Price: 5e-08
Pair: BTT/BTC - Price: 25000000.0
Pair: USDT/GRIN - Price: 1.55999948
Pair: GRIN/USDT - Price: 0.764514888545197
Pair: BTC/EOS - Price: 0.00037738
Pair: EOS/BTC - Price: 2660.423539427477
Pair: USDT/ADA - Price: 0.04363581
Pair: ADA/USDT - Price: 23.020559892245362
Pair: ETH/VDX - Price: 1.02e-05
Pair: VDX/ETH - Price: 98231.82711198427
Pair: BTC/BSV - Price: 0.01446929
Pair: BSV/BTC - Price: 69.36145154096869
Pair: USDT/ETC - Price: 5.25265042
Pair: ETC/USDT - Price: 0.19203250824620235
Pair: USDT/HBAR - Price: 0.034028
Pair: HBAR/USDT - Price: 29.559562518474728
Pair: ETH/SC - Price: 1.13e-05
Pair: SC/ETH - Price: 89445.43828264759
Pair: BTC/ZEC - Price: 0.00419836
Pair: ZEC/BTC - Price: 238.9469131643023
Pair: BTC/XLM - Price: 8.11e-06
Pair: XLM/BTC - Price: 123456.79012345678
Pair: USDT/OMG - Price: 1.00103919
Pair: OMG/USDT - Price: 1.0091294732489464
Pair: BTC/ETC - Price: 0.00056727
Pair: ETC/BTC - Price: 1767.7526560483657
Pair: ETH/XLM - Price: 0.000399
Pair: XLM/ETH - Price: 2516.292997156589
Pair: ETH/BSV - Price: 0.71245376
Pair: BSV/ETH - Price: 1.4101283398695839

 >> Results:

	path: <USDT,BTC><BTC,OCEAN><OCEAN,USDT>
	rate: 0.9958292004740803
	time of execution in ms: 0.7290840148925781
	recursive calls: 156, memorization calls: 0
